Data_extracted,pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score,Notes
,35741009,Immunogenicity of Novel AAV Capsids for Retinal Gene Therapy.,Cells,2022,"AAV vectors are widely used in gene therapy, but the prevalence of neutralizing antibodies raised against AAV serotypes in the course of a natural infection, as well as innate and adaptive immune responses induced upon vector administration, is still considered an important limitation. In ocular gene therapy, vectors applied subretinally bear the risk of retinal detachment or vascular leakage. Therefore, new AAV vectors that are suitable for intravitreal administration for photoreceptor transduction were developed. Here, we compared human immune responses from donors with suspected previous AAV2 infections to the new vectors AAV2.GL and AAV2.NN-two capsid peptide display variants with an enhanced tropism for photoreceptors-with the parental serotype AAV2 (AAV2 WT). We investigated total and neutralizing antibodies, adaptive and innate cellular immunogenicity determined by immunofluorescence staining and flow cytometry, and cytokine secretion analyzed with multiplex beads. While we did not observe obvious differences in overall antibody binding, variants-particularly AAV2.GL-were less sensitive to neutralizing antibodies than the AAV2 WT. The novel variants did not differ from AAV2 WT in cellular immune responses and cytokine production in vitro. Due to their enhanced retinal tropism, which allows for dose reduction, the new vector variants are likely to be less immunogenic for gene therapy than the parental AAV2 vector.","['Gehrke', 'Diedrichs-Möhring', 'Bogedein']",1,7,"tropism, transduction",,22,
,33038323,Improved Noninvasive In Vivo Tracking of AAV-9 Gene Therapy Using the Perchlorate-Resistant Sodium Iodide Symporter from Minke Whale.,Molecular therapy : the journal of the American Society of Gene Therapy,2021,"The sodium iodide symporter (NIS) is widely used as a reporter gene to noninvasively monitor the biodistribution and durability of vector-mediated gene expression via gamma scintigraphy, single-photon emission computed tomography (SPECT), and positron-emission tomography (PET). However, the approach is limited by background signal due to radiotracer uptake by endogenous NIS-expressing tissues. In this study, using the SPECT tracer pertechnetate (<sup>99m</sup>TcO<sub>4</sub>) and the PET tracer tetrafluoroborate (B<sup>18</sup>F<sub>4</sub>), in combination with the NIS inhibitor perchlorate, we compared the transport properties of human NIS and minke whale (Balaenoptera acutorostrata scammoni) NIS in vitro and in vivo. Based on its relative resistance to perchlorate, the NIS protein from minke whale appeared to be the superior candidate reporter gene. SPECT and PET imaging studies in nude mice challenged with NIS-encoding adeno-associated virus (AAV)-9 vectors confirmed that minke whale NIS, in contrast to human and endogenous mouse NIS, continues to function as a reliable reporter even when background radiotracer uptake by endogenous NIS is blocked by perchlorate.","['Concilio', 'Suksanpaisan', 'Pham']",1,7,"biodistribution, gene expression",,22,
,28596114,Successful Repeated Hepatic Gene Delivery in Mice and Non-human Primates Achieved by Sequential Administration of AAV5<sup>ch</sup> and AAV1.,Molecular therapy : the journal of the American Society of Gene Therapy,2017,"In the gene therapy field, re-administration of adeno-associated virus (AAV) is an important topic because a decrease in therapeutic protein expression might occur over time. However, an efficient re-administration with the same AAV serotype is impossible due to serotype-specific, anti-AAV neutralizing antibodies (NABs) that are produced after initial AAV treatment. To address this issue, we explored the feasibility of using chimeric AAV serotype 5 (AAV5<sup>ch</sup>) and AAV1 for repeated liver-targeted gene delivery. To develop a relevant model, we immunized animals with a high dose of AAV5<sup>ch</sup>-human secreted embryonic alkaline phosphatase (hSEAP) that generates high levels of anti-AAV5<sup>ch</sup> NAB. Secondary liver transduction with the same dose of AAV1-human factor IX (hFIX) in the presence of high levels of anti-AAV5<sup>ch</sup> NAB proved to be successful because expression/activity of both reporter transgenes was observed. This is the first time that two different transgenes are shown to be produced by non-human primate (NHP) liver after sequential administration of clinically relevant doses of both AAV5<sup>ch</sup> and AAV1. The levels of transgene proteins achieved after delivery with AAV5<sup>ch</sup> and AAV1 illustrate the possibility of both serotypes for liver targeting. Furthermore, transgene DNA and RNA biodistribution patterns provided insight into the potential cause of decrease or loss of transgene protein expression over time in NHPs.","['Majowicz', 'Salas', 'Zabaleta']",1,9,"biodistribution, transduction","liver, hepatic",22,
,36179767,Efficacy of gene delivery to the brain using AAV and ultrasound depends on serotypes and brain areas.,Journal of controlled release : official journal of the Controlled Release Society,2022,"Focused ultrasound combined with intravenously injected microbubbles (FUS) is known to non-invasively, locally, and transiently increase the permeability of the blood-brain barrier (BBB). A promising approach for non-invasive gene delivery to the brain is to administer recombinant adeno-associated viruses (AAVs) intravenously and allow them to cross the BBB at precise FUS-targeted brain regions. FUS-AAV delivery has been achieved in animal models; however, the key elements influencing, guiding, and monitoring the success of FUS-AAV delivery to the brain remain largely unknown. We systematically compared the ability of AAV1, AAV2, AAV5, AAV8, AAV9, and AAVrg to enter four specific brain regions and transduce two main cell types: neurons and astrocytes. Our results demonstrate that the AAV serotype, the extent of FUS-induced BBB permeability, and the intrinsic properties of the targeted brain tissue influence the observed biodistribution, diffusion and transduction of AAV to cells of the cerebrovasculature and brain parenchyma. Non-invasive contrast-enhanced MR imaging was found to predict the efficacy of FUS-AAV delivery. Notably, we also found that AAVs with high biodistribution to peripheral organs result in low gene delivery to the brain when combined with FUS. Gene delivery by AAV1, AAV2, AAV5, AAV8 and AAV9 was highly and selectively localized to FUS-targeted brain areas. To obtain non-invasive gene delivery to multiple brain regions with one area of FUS-BBB modulation, we combined a modified AAV2 vector harboring enhanced retrograde transport properties (AAVrg) with FUS-mediated brain delivery. This allowed for gene delivery from the FUS-targeted site to multiple connected brain regions. This study demonstrates that MR imaging can be used as a non-invasive indication of AAV delivery to the brain, and that the properties of AAV serotypes influence the efficacy of gene delivery to the brain with FUS. AAVs that have minimal peripheral biodistribution are ideal candidates for enhanced, and perhaps exclusive with future serotypes, delivery to the brain with FUS. The characterization of parameters influencing FUS-AAV delivery to the brain are critical to the design of safe and efficient gene therapies, from preclinical studies to future clinical applications.","['Kofoed', 'Dibia', 'Noseworthy']",1,9,"biodistribution, transduction","liver, brain",22,
,38783531,Single Injection AAV2-FGF18 Gene Therapy Reduces Cartilage Loss and Subchondral Bone Damage in a Mechanically Induced Model of Osteoarthritis.,Current gene therapy,2024,"Osteoarthritis (OA) is a highly debilitating, degenerative pathology of cartilaginous joints affecting over 500 million people worldwide. The global economic burden of OA is estimated at $260-519 billion and growing, driven by aging global population and increasing rates of obesity. To date, only the multi-injection chondroanabolic treatment regimen of Fibroblast Growth Factor 18 (FGF18) has demonstrated clinically meaningful disease-modifying efficacy in placebo-controlled human trials. Our work focuses on the development of a novel single injection disease-modifying gene therapy, based on FGF18's chondroanabolic activity. OA was induced in Sprague-Dawley rats using destabilization of the medial meniscus (DMM) (3 weeks), followed by intra-articular treatment with 3 dose levels of AAV2-FGF18, rh- FGF18 protein, and PBS. Durability, redosability, and biodistribution were measured by quantifying nLuc reporter bioluminescence. Transcriptomic analysis was performed by RNA-seq on cultured human chondrocytes and rat knee joints. Morphological analysis was performed on knee joints stained with Safranin O/Fast Green and anti-PRG antibody. Dose-dependent reductions in cartilage defect size were observed in the AAV2-FGF18- treated joints relative to the vehicle control. Total defect width was reduced by up to 76% and cartilage thickness in the thinnest zone was increased by up to 106%. Morphologically, the vehicle- treated joints exhibited pronounced degeneration, ranging from severe cartilage erosion and bone void formation, to subchondral bone remodeling and near-complete subchondral bone collapse. In contrast, AAV2-FGF18-treated joints appeared more anatomically normal, with only regional glycosaminoglycan loss and marginal cartilage erosion. While effective at reducing cartilage lesions, treatment with rhFGF18 injections resulted in significant joint swelling (19% increase in diameter), as well as a decrease in PRG4 staining uniformity and intensity. In contrast to early-timepoint <i>in vitro</i> RNA-seq analysis, which showed a high degree of concordance between protein- and gene therapy-treated chondrocytes, <i>in vivo</i> transcriptomic analysis, revealed few gene expression changes following protein treatment. On the other hand, the gene therapy treatment exhibited a high degree of durability and localization over the study period, upregulating several chondroanabolic genes while downregulating OA- and fibrocartilage-associated markers. FGF18 gene therapy treatment of OA joints can provide benefits to both cartilage and subchondral bone, with a high degree of localization and durability.","['Hollander', 'Goraltchouk', 'Liu']",1,7,"biodistribution, gene expression",,22,
,40538303,Exploring AAV-Mediated Gene Therapy for Inner Ear Diseases: from Preclinical Success to Clinical Potential.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,"Hearing loss imposes a significant global health burden and often results from genetic factors and various external influences, such as noise exposure and the use of ototoxic drugs. Recent advancements in adeno-associated virus (AAV)-mediated gene therapy offer promising new avenues for the treatment of inner ear diseases. Clinical trials of AAV-mediated gene therapies show impressive preliminary results, although further research is needed to evaluate the safety and long-term effects of these therapies. Preclinical AAV-mediated gene therapy is notable for its high transduction efficiency and safety. In this article, the development of AAV-mediated gene therapies is reviewed for inner ear diseases, categorizing these therapies by their strategies for treating hereditary hearing loss, including gene replacement and cluster regularly interspaced short palindromic repeat-based methods. AAV-mediated hair cell regeneration therapy is also reviewed for acquired hearing loss, as well as methods to prevent acquired hearing loss. In this article, it is hoped to provide a comprehensive overview of recent progress in AAV-mediated gene therapy and its future potential, thereby highlighting the importance of this therapy for researchers and clinicians in the field.","['Wu', 'He', 'Xiao']",1,7,"transduction efficiency, transduction",,22,
,39334366,Designing and optimizing AAV-mediated gene therapy for neurodegenerative diseases: from bench to bedside.,Journal of translational medicine,2024,"Recombinant adeno-associated viruses (rAAVs) have emerged as an attractive tool for gene delivery, and demonstrated tremendous promise in gene therapy and gene editing-therapeutic modalities with potential ""one-and-done"" treatment benefits compared to conventional drugs. Given their tropisms for the central nervous system (CNS) across various species including humans, rAAVs have been extensively investigated in both pre-clinical and clinical studies targeting neurodegenerative disease. However, major challenges remain in the application of rAAVs for CNS gene therapy, such as suboptimal vector design, low CNS transduction efficiency and specificity, and therapy-induced immunotoxicity. Therefore, continuing efforts are being made to optimize the rAAV vectors from their ""core"" genetic payloads to their ""coat"" or capsid structure. In this review, we describe current approaches for rAAV vector design tailored for transgene expression in the CNS, summarize the development of CNS-targeting AAV serotypes, and highlight recent advancements in AAV capsid engineering, aimed at generating a new generation of rAAVs with improved CNS tropism. Additionally, we discuss various administration routes for delivering rAAVs to the CNS and provide an overview of AAV-mediated gene therapies currently under investigation in clinical trials for the treatment of neurodegenerative diseases.","['Xu', 'Yao', 'Ding']",1,17,"tropism, transduction efficiency, transduction, gene expression, transgene expression",liver,22,
,32313222,Multiplexed Cre-dependent selection yields systemic AAVs for targeting distinct brain cell types.,Nature methods,2020,"Recombinant adeno-associated viruses (rAAVs) are efficient gene delivery vectors via intravenous delivery; however, natural serotypes display a finite set of tropisms. To expand their utility, we evolved AAV capsids to efficiently transduce specific cell types in adult mouse brains. Building upon our Cre-recombination-based AAV targeted evolution (CREATE) platform, we developed Multiplexed-CREATE (M-CREATE) to identify variants of interest in a given selection landscape through multiple positive and negative selection criteria. M-CREATE incorporates next-generation sequencing, synthetic library generation and a dedicated analysis pipeline. We have identified capsid variants that can transduce the central nervous system broadly, exhibit bias toward vascular cells and astrocytes, target neurons with greater specificity or cross the blood-brain barrier across diverse murine strains. Collectively, the M-CREATE methodology accelerates the discovery of capsids for use in neuroscience and gene-therapy applications.","['Ravindra Kumar', 'Miles', 'Chen']",1,7,tropism,"liver, brain",22,
,33028973,Engineered AAV8 capsid acquires heparin and AVB sepharose binding capacity but has altered in vivo transduction efficiency.,Gene therapy,2023,"Naturally occurring adeno-associated virus (AAV) serotypes that bind to ligands such as AVB sepharose or heparin can be purified by affinity chromatography, which is a more efficient and scalable method than gradient ultracentrifugation. Wild-type AAV8 does not bind effectively to either of these molecules, which constitutes a barrier to using this vector when a high throughput design is required. Previously, AAV8 was engineered to contain a SPAKFA amino acid sequence to facilitate purification using AVB sepharose resin; however, in vivo studies were not conducted to examine whether these capsid mutations altered the transduction profile. To address this gap in knowledge, a mutant AAV8 capsid was engineered to bind to AVB sepharose and heparan sulfate (AAV8-AVB-HS), which efficiently bound to both affinity columns, resulting in elution yields of >80% of the total vector loaded compared to <5% for wild-type AAV8. However, in vivo comparison by intramuscular, intravenous, and intraperitoneal vector administration demonstrated a significant decrease in AAV8-AVB-HS transduction efficiency without alteration of the transduction profile. Therefore, although it is possible to engineer AAV capsids to bind various affinity ligands, the consequences associated with mutating surface exposed residues have the potential to negatively impact other vector characteristics including in vivo potency and production yield. This study demonstrates the importance of evaluating all aspects of vector performance when engineering AAV capsids.","['van Lieshout', 'Stegelmeier', 'Rindler']",1,7,"transduction efficiency, transduction",,22,
,41194675,Pharmacokinetic and Pharmacodynamic Evaluation of Bidridistrogene Xeboparvovec in an Aged Murine Model of Limb-Girdle Muscular Dystrophy Type 2E/R4.,Human gene therapy,2026,"Limb-girdle muscular dystrophy type 2E/R4 (LGMD2E/R4) is an ultra-rare autosomal recessive disorder caused by mutations in <i>SGCB</i>, the gene that encodes for β-sarcoglycan (SGCB), a component of the dystrophin-associated protein complex that stabilizes muscle fibers during contractions. Bidridistrogene xeboparvovec is an investigational adeno-associated virus-mediated gene transfer therapy designed to deliver a codon-optimized, full-length human <i>SGCB</i> and induce targeted expression of functional human SGCB protein. Interim safety and efficacy data from a clinical trial in patients with LGDM2E/R4 aged 4-15 years (NCT03652259) support further clinical development of bidridistrogene xeboparvovec. However, less is known about the effects of this agent in patients with more advanced LGMD2E/R4, who on average are older and heavier, which prompted their inclusion in studies VOYAGENE (NCT05876780, phase 1) and EMERGENE (NCT06246513, phase 3). In the preclinical study presented here, we delivered bidridistrogene xeboparvovec (0.185 × 10<sup>13</sup> vg/kg, 0.37 × 10<sup>13</sup> vg/kg, 0.74 × 10<sup>13</sup> vg/kg, 1.85 × 10<sup>13</sup> vg/kg, or 7.4 × 10<sup>13</sup> vg/kg) to <i>Sgcb</i>-/- mice aged 27-42 weeks (<i>n</i> = 4 per dose) with age-matched saline-treated <i>Sgcb-/-</i> and C57BL/6J mice used as controls. Approximately 12 weeks after administration, we observed SGCB expression and found evidence of reduction in muscle fibrosis, reduction in muscle damage, and restoration of muscle force. Overall, a dose-dependent increase in vector exposure across tissue types was observed, with a nonlinear, exposure-dependent increase in both SGCB expression and functional improvement that reached saturation at 7.4 × 10<sup>13</sup> vg/kg. Pharmacokinetic and pharmacodynamic analyses demonstrated a robust relationship between vector biodistribution, SGCB expression, and muscle force, further supporting clinical development of bidridistrogene xeboparvovec at the highest dose (7.4 × 10<sup>13</sup> vg/kg), across a broad LGMD2E/R4 population and regardless of disease progression.","['Baine', 'Cui', 'Seo']",1,7,biodistribution,"liver, muscle",22,
,37167304,Improving retinal vascular endothelial cell tropism through rational rAAV capsid design.,PloS one,2023,"Vascular endothelial cells (VEC) are essential for retinal homeostasis and their dysfunction underlies pathogenesis in diabetic retinopathy (DR) and exudative age-related macular degeneration (AMD). Studies have shown that recombinant adeno-associated virus (rAAV) vectors are effective at delivering new genetic material to neural and glial cells within the retina, but targeting VECs remains challenging. To overcome this limitation, herein we developed rAAV capsid mutant vectors with improved tropism towards retinal VEC. rAAV2/2, 2/2[QuadYF-TV], and rAAV2/9 serotype vectors (n = 9, capsid mutants per serotype) expressing GFP were generated by inserting heptameric peptides (7AA) designed to increase endothelial targeting at positions 588 (2/2 and 2/2[QuadYF-TV] or 589 (2/9) of the virus protein (VP 1-3). The packaging and transduction efficiency of the vectors were assessed in HEK293T and bovine VECs using Fluorescence microscopy and flow cytometry, leading to the identification of one mutant, termed EC5, that showed improved endothelial tropism when inserted into all three capsid serotypes. Intra-ocular and intravenous administration of EC5 mutants in C57Bl/6j mice demonstrated moderately improved transduction of the retinal vasculature, particularly surrounding the optic nerve head, and evidence of sinusoidal endothelial cell transduction in the liver. Most notably, intravenous administration of the rAAV2/2[QuadYF-TV] EC5 mutant led to a dramatic and unexpected increase in cardiac muscle transduction.","['Periasamy', 'Patel', 'Boye']",1,17,"tropism, transduction efficiency, transduction, intravenous administration","liver, muscle, cardiac, neural",22,
,38753766,An AAV capsid reprogrammed to bind human transferrin receptor mediates brain-wide gene delivery.,"Science (New York, N.Y.)",2024,"Developing vehicles that efficiently deliver genes throughout the human central nervous system (CNS) will broaden the range of treatable genetic diseases. We engineered an adeno-associated virus (AAV) capsid, BI-hTFR1, that binds human transferrin receptor (TfR1), a protein expressed on the blood-brain barrier. BI-hTFR1 was actively transported across human brain endothelial cells and, relative to AAV9, provided 40 to 50 times greater reporter expression in the CNS of human <i>TFRC</i> knockin mice. The enhanced tropism was CNS-specific and absent in wild-type mice. When used to deliver <i>GBA1</i>, mutations of which cause Gaucher disease and are linked to Parkinson's disease, BI-hTFR1 substantially increased brain and cerebrospinal fluid glucocerebrosidase activity compared with AAV9. These findings establish BI-hTFR1 as a potential vector for human CNS gene therapy.","['Huang', 'Chan', 'Wu']",1,7,tropism,"liver, brain",22,
,31072208,High-Throughput Quantification of <i>In Vivo</i> Adeno-Associated Virus Transduction with Barcoded Non-Coding RNAs.,Human gene therapy,2019,"Recombinant adeno-associated viruses (rAAVs) have become favorable gene delivery vehicles for expressing therapeutic transgenes. Capsid engineering efforts to produce novel AAVs with improved transduction efficiencies, unique tissue specificities, and reduced host immunities are a direct response to the high demand for treatment needs that preexisting rAAVs cannot currently fulfill. New AAV capsids discovered by directed evolution methods, <i>in silico</i> design, or from natural proviral sequences ultimately require extensive characterization in relevant <i>in vivo</i> models. Consequently, quantitative screening of candidate capsid libraries now requires reliable high-throughput sequencing approaches. In this study, we have developed a vector/transgene tracking system that employs the indexing of a non-coding RNA. Specifically, a barcoded Tough Decoy (<i>bcTuD</i>) that express highly stable RNA transcripts that can be used as readouts for transduction efficiency. The pseudo-hairpin structure of the <i>bcTuD</i> contains a variable region that is amenable to barcode insertion, which can be detected by target amplicon sequencing. The described approach, named AAV-<i>bcTuD</i> screening, offers a new alternative for <i>in vivo</i> assessment of rAAV that can accurately quantify vector genomes and transcript abundances in tissues, as exampled by the demonstration in liver and brain infections. Proof-of-concept is provided to show that vector genome and transcript detection in tissues with this method is accurate and consistent for a vector dose range of upwards to four logs in a mixed vector injection, showing that this technique is robust, sensitive, and applicable for multiplexed screening of capsid performance <i>in vivo</i>.","['Xu', 'Li', 'Xie']",1,9,"transduction efficiency, transduction","liver, brain",22,
,40957959,Oligodendrocyte-targeted adeno-associated virus gene therapy for Canavan disease in children: a phase 1/2 trial.,Nature medicine,2025,"This open-label phase 1/2 clinical study uses a novel recombinant vector, rAAV-Olig001, with selective tropism for oligodendrocytes, to deliver gene therapy for Canavan disease (CD), a rare leukodystrophy characterized by defective aspartoacylase and elevated N-acetyl-aspartic acid (NAA) concentrations. A total of 8 participants received intracranial doses of 3.7 × 10<sup>13</sup> vector genomes (vg) of rAAV-Olig001-ASPA (MYR-101), with an interim analysis at 12 months. The primary objective was to assess the safety of intracranial dosing of MYR-101 in children with typical CD. Efficacy measures included Mullen Scales of Early Learning (MSEL), Gross Motor Function Measure (GMFM) and analysis of NAA, myelination, white matter and extracellular water content in the brain. The participants were White; 5 (62.5%) were male. Of the participants, 7 (87.5%) experienced ≥1 serious adverse event, none of which were considered MYR-101 related. All participants experienced ≥1 adverse event. All adverse events and serious adverse events resolved fully. Treatment reduced NAA concentrations in cerebrospinal fluid (P = 0.0008), increased myelination (P = 0.0137) and improved MSEL developmental outcomes (P = 0.0171). Thus, interim results suggest that gene therapy with MYR-101 is well tolerated and shows early effects in CD. While these findings are preliminary, reductions in NAA concentrations indicate ASPA expression and increases in myelination and imply successful targeting of oligodendrocytes. These results may support the development of similar gene therapy strategies for other demyelinating and metabolic brain disorders. ClinicalTrials.gov registration: NCT04833907 .","['Leone', 'Lober', 'Francis']",1,7,tropism,"liver, brain",22,
,36320418,AAV9-NGLY1 gene replacement therapy improves phenotypic and biomarker endpoints in a rat model of NGLY1 Deficiency.,Molecular therapy. Methods & clinical development,2022,"N-glycanase 1 (NGLY1) Deficiency is a progressive, ultra-rare, autosomal recessive disorder with no approved therapy and five core clinical features: severe global developmental delay, hyperkinetic movement disorder, elevated liver transaminases, alacrima, and peripheral neuropathy. Here, we confirmed and characterized the <i>Ngly1</i> <i><sup>-/-</sup></i> <sup><i>/</i></sup> rat as a relevant disease model. GS-100, a gene therapy candidate, is a recombinant, single-stranded adeno-associated virus (AAV) 9 vector designed to deliver a functional copy of the human <i>NGLY1</i> gene. Using the <i>Ngly1</i> <sup>-/-</sup> rat, we tested different administration routes for GS-100: intracerebroventricular (ICV), intravenous (IV), or the dual route (IV + ICV). ICV and IV + ICV administration resulted in widespread biodistribution of human NGLY1 DNA and corresponding mRNA and protein expression in CNS tissues. GS-100 delivered by ICV or IV + ICV significantly reduced levels of the substrate biomarker N-acetylglucosamine-asparagine (GlcNAc-Asn or GNA) in CSF and brain tissue compared with untreated <i>Ngly1<sup>-/-</sup></i> rats. ICV and IV + ICV administration of GS-100 resulted in behavioral improvements in rotarod and rearing tests, whereas IV-only administration did not. IV + ICV did not provide additional benefit compared with ICV administration alone. These data provide evidence that GS-100 could be an effective therapy for NGLY1 Deficiency using the ICV route of administration.","['Zhu', 'Tan', 'Dwight']",1,7,biodistribution,"liver, brain",22,
,41258232,"Murine toxicology assessment of avgn7.2, a novel gene therapeutic for inclusion body myositis and other muscle wasting diseases.",Gene therapy,2025,"Sporadic inclusion body myositis (IBM) is a highly debilitating muscle degenerative and rare disease of the middle aged and elderly. Because immunosuppressants fail to prevent muscle wasting in IBM patients and can even exacerbate it, drugs like AVGN7.2 are being developed to halt degeneration and to enhance muscle mass and function. AVGN7.2 is a novel gene therapeutic that attenuates activin receptors through muscle-specific human (h) SMAD7 expression and as part of its preclinical development, we performed a 91-day single-dose toxicology assessment of systemic safety, biodistribution and immunogenicity in accordance with Good Laboratory Practices. Standard physiological, ophthalmoscopic, hematological and serum chemistry examinations were performed and no adverse drug-related effects were detected at any dose (2.3E + 13, 7E + 13 and 2.1E + 14 vg/kg), resulting in a No Observed Adverse Effect Level of 2.1e14 vg/kg. Mice mounted early IgM and late IgG responses to the AAV6 capsid, but no response to the hSMAD7 protein. Vector biodistribution mirrored previously published patterns with liver followed by striated muscle having the highest levels, although overexpression of hSMAD7 and the S6RP biomarker only occurred in muscle. These data suggest that AVGN7.2 was well-tolerated even at doses known to elicit clinical toxicities with muscle-tropic AAV capsids other than AAV6.","['Herring', 'Rodgers']",1,7,biodistribution,"liver, muscle",22,
,35685478,AAV6 as an effective gene delivery vector for prolonged transgene expression in intervertebral disc cells <i>in vivo</i>.,Genes & diseases,2022,"Intervertebral disc degeneration is the main contributor to low back pain, now the leading cause of disability worldwide. Gene transfer, either in a therapeutic attempt or in basic research to understand the mechanisms of disc degeneration, is a fascinating and promising tool to manipulate the complex physiology of the disc. Viral vectors based on the adeno-associated virus (AAV) have emerged as powerful transgene delivery vehicles yet a systematic investigation into their respective tropism, transduction efficiency, and relative toxicity have not yet been performed in the disc <i>in vivo</i>. Herein, we used <i>in vivo</i> bioluminescence imaging to systematically compare multiple AAV serotypes, injection volumes, titers, promoters, and luciferase reporters to determine which result in high transduction efficiency of murine nucleus pulposus (NP) cells <i>in vivo</i>. We find that AAV6 using a CAG promoter to drive transgene expression, delivered into the NP of murine caudal discs at a titer of 10<sup>11</sup> GC/mL, provides excellent transduction efficiency/kinetics and low toxicity <i>in vivo</i>. We also show, for the first time, that the transduction of NP cells can be significantly boosted <i>in vivo</i> by the use of small cell permeabilization peptides. Finally, to our knowledge, we are the first to demonstrate the use of optical tissue clearing and three-dimensional lightsheet microscopy in the disc, which was used to visualize fine details of tissue and cell architecture in whole intact discs following AAV6 delivery. Taken together, these data will contribute to the success of using AAV-mediated gene delivery for basic and translational studies of the IVD.","['Kim', 'Oliver', 'Dar']",1,17,"tropism, transduction efficiency, transduction, gene expression, transgene expression",liver,22,
,38543807,Natural Adeno-Associated Virus Serotypes and Engineered Adeno-Associated Virus Capsid Variants: Tropism Differences and Mechanistic Insights.,Viruses,2024,"Today, adeno-associated virus (AAV)-based vectors are arguably the most promising in vivo gene delivery vehicles for durable therapeutic gene expression. Advances in molecular engineering, high-throughput screening platforms, and computational techniques have resulted in a toolbox of capsid variants with enhanced performance over parental serotypes. Despite their considerable promise and emerging clinical success, there are still obstacles hindering their broader use, including limited transduction capabilities, tissue/cell type-specific tropism and penetration into tissues through anatomical barriers, off-target tissue biodistribution, intracellular degradation, immune recognition, and a lack of translatability from preclinical models to clinical settings. Here, we first describe the transduction mechanisms of natural AAV serotypes and explore the current understanding of the systemic and cellular hurdles to efficient transduction. We then outline progress in developing designer AAV capsid variants, highlighting the seminal discoveries of variants which can transduce the central nervous system upon systemic administration, and, to a lesser extent, discuss the targeting of the peripheral nervous system, eye, ear, lung, liver, heart, and skeletal muscle, emphasizing their tissue and cell specificity and translational promise. In particular, we dive deeper into the molecular mechanisms behind their enhanced properties, with a focus on their engagement with host cell receptors previously inaccessible to natural AAV serotypes. Finally, we summarize the main findings of our review and discuss future directions.","['Lopez-Gordo', 'Chamberlain', 'Riyad']",1,17,"tropism, biodistribution, transduction, gene expression","liver, muscle, heart, lung, skeletal muscle",22,
,36606687,Biodistribution of Adeno-Associated Virus Gene Therapy Following Cerebrospinal Fluid-Directed Administration.,Human gene therapy,2023,"Adeno-associated virus (AAV)-based gene therapies, exemplified by the approved therapy for spinal muscular atrophy, have the potential to deliver disease-course-altering treatments for central nervous system (CNS) indications. However, several clinical trials have reported severe adverse events, including patient deaths following high-dose systemic administration for muscle-directed gene transfer, highlighting the need to explore approaches utilizing lower doses when targeting the CNS. Animal models of disease provide insight into the response to new AAV therapies. However, translation from small to larger animals and eventually to humans is hampered by anatomical and biological differences across the species and their impact on AAV delivery. We performed a literature review of preclinical studies of AAV gene therapy biodistribution following cerebrospinal fluid (CSF) delivery (intracerebroventricular, intra-cisterna magna, and intrathecal lumbar). The reviewed literature varies greatly in the reported biodistribution of AAV following administration into the CSF. Differences between studies, including animal model, vector serotype used, method used to assess biodistribution, and route of administration, among other variables, contribute to differing outcomes and difficulties in translating these preclinical results. For example, only half of the published AAV-based gene therapy studies report vector copy number, the most direct readout following administration of a vector; none of these studies reported details such as the empty:full capsid ratio and quality of encapsidated genome. Analysis of the last decade's literature focusing on AAV-based gene therapies targeting the CNS underscores limitations of the body of knowledge and room for continued research. In particular, there is a need to understand the biodistribution achieved by different CSF-directed routes of administration and determining if specific cell types/structures of interest will be transduced. Our findings point to a clear need for a more systematic approach across the field to align the assessments and elements reported in preclinical research to enable more reliable translation across animal models and into human studies.","['Chen', 'Lim', 'Lawlor']",1,7,biodistribution,"liver, muscle",22,
,36817723,Aptamer-programmable adeno-associated viral vectors as a novel platform for cell-specific gene transfer.,Molecular therapy. Nucleic acids,2023,"Adeno-associated viruses (AAVs) are commonly used for <i>in vivo</i> gene therapy. Nevertheless, the wide tropism that characterizes these vectors limits specific targeting to a particular cell type or tissue. Here, we developed new chemically modified AAV vectors (Nε-AAVs) displaying a single site substitution on the capsid surface for post-production vector engineering through biorthogonal copper-free click chemistry. We were able to identify AAV vectors that would tolerate the unnatural amino acid substitution on the capsid without disrupting their packaging efficiency. We functionalized the Nε-AAVs through conjugation with DNA (AS1411) or RNA (E3) aptamers or with a folic acid moiety (FA). E3-, AS1411-, and FA-AAVs showed on average a 3- to 9-fold increase in transduction compared with their non-conjugated counterparts in different cancer cell lines. Using specific competitors, we established ligand-specific transduction. <i>In vivo</i> studies confirmed the selective uptake of FA-AAV and AS1411-AAV without off-target transduction in peripheral organs. Overall, the high versatility of these novel Nε-AAVs might pave the way to tailoring gene therapy vectors toward specific types of cells both for <i>ex vivo</i> and <i>in vivo</i> applications.","['Puzzo', 'Zhang', 'Powell Gray']",1,7,"tropism, transduction",,22,
